UniprotAccession,Description,Globulins,PSMs,Abundance[S4],Abundance[S37],Abundance[S38],Abundance[S39],Abundance[S40],Abundance[S41],Abundance[S42],Abundance[S43],Abundance[S44],Abundance[S45],Found[S4],Found[S37],Found[S38],Found[S39],Found[S40],Found[S41],Found[S42],Found[S43],Found[S44],Found[S45],Gene
Q9UBF1,Melanoma-associated antigen C2 OS=Homo sapiens OX=9606 GN=MAGEC2 PE=1 SV=1,0,17,703276.9395,324804.7236,75985.27148,297333.2461,3510262.862,706958.7188,NA,2125775.764,188135.0469,579832.0469,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,MAGEC2
O43739,Cytohesin-3 OS=Homo sapiens OX=9606 GN=CYTH3 PE=1 SV=2,0,17,NA,37022.27734,NA,297351.8125,235408.9492,276380.125,159886.6953,41476.00391,NA,NA,Not Found,Not Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Not Found,Not Found,CYTH3
P62851,40S ribosomal protein S25 OS=Homo sapiens OX=9606 GN=RPS25 PE=1 SV=1,0,87,343090.8477,468802.502,137201.7285,297770.0313,483012.5664,419847.041,241644.2305,191688.7012,403523.6719,373820.1914,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,RPS25
P78316,Nucleolar protein 14 OS=Homo sapiens OX=9606 GN=NOP14 PE=1 SV=3,0,4,NA,103733.3203,114690.4063,298076.6563,NA,158097.7813,NA,NA,55532.91797,NA,Not Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Not Found,Not Found,Peak Found,Not Found,NOP14
Q99650,Oncostatin-M-specific receptor subunit beta OS=Homo sapiens OX=9606 GN=OSMR PE=1 SV=1,0,26,1709457.141,339556.3828,58836.88477,300159.3281,106747.4688,74751.32617,1358650.125,252065.4766,127095.2969,NA,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,OSMR
Q5JTW2,Centrosomal protein of 78 kDa OS=Homo sapiens OX=9606 GN=CEP78 PE=1 SV=1,0,2,NA,33194.11719,366696.5771,300498.25,470768.4375,1054867.25,1566290.875,371129.4063,507655.6875,647294.1992,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,CEP78
P63302,Selenoprotein W OS=Homo sapiens OX=9606 GN=SELENOW PE=1 SV=3,0,3,129413.8984,198521.0313,82909.89844,301308.2188,NA,149470.625,134472.1094,157206.2656,203559.5469,219995.0156,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,SELENOW
Q96F85,CB1 cannabinoid receptor-interacting protein 1 OS=Homo sapiens OX=9606 GN=CNRIP1 PE=1 SV=1,0,15,NA,99638.04688,168455.5684,301361.9375,701554.9375,305182.0762,69012.30469,298196.9844,791539.9063,447746.7813,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,CNRIP1
O76021,Ribosomal L1 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=RSL1D1 PE=1 SV=3,0,91,3776912.633,700162.3359,13995.5,301456.0098,60039.22852,891919.875,4833981.297,3951525.75,557232.9629,830360.1328,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,RSL1D1
Q9Y4E6,WD repeat-containing protein 7 OS=Homo sapiens OX=9606 GN=WDR7 PE=1 SV=2,0,3,NA,NA,66881.79688,302291.25,140367.7461,NA,145543.25,NA,133284.1563,NA,Not Found,Not Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Not Found,Peak Found,Not Found,WDR7
Q9H501,ESF1 homolog OS=Homo sapiens OX=9606 GN=ESF1 PE=1 SV=1,0,7,678074.3281,385700.1094,58720.86133,302505.6445,75333.02344,397652.4102,320415.0078,139318.4727,535110.8711,130498.4531,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,ESF1
Q9BZL4,Isoform 4 of Protein phosphatase 1 regulatory subunit 12C OS=Homo sapiens OX=9606 GN=PPP1R12C,0,12,62756.76953,549444.9648,118712.043,302903.3281,82202.61719,114352.9688,899658.3125,173856.1094,129734.7539,NA,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,PPP1R12C
Q9BRR6,ADP-dependent glucokinase OS=Homo sapiens OX=9606 GN=ADPGK PE=1 SV=1,0,9,534599.7344,149905.875,61458.04102,303171.1406,124753.5156,44353.35938,190446.2676,85305.48438,NA,80224.75781,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,ADPGK
P08397,Porphobilinogen deaminase OS=Homo sapiens OX=9606 GN=HMBS PE=1 SV=2,0,9,209003.3281,98800.67969,210601.8945,303870.8594,150344.0547,139152.9141,239533.5781,163697.2695,462190.5156,174714.2813,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,HMBS
Q15847,Adipogenesis regulatory factor OS=Homo sapiens OX=9606 GN=ADIRF PE=1 SV=1,0,6,NA,NA,42842.69141,304363.0938,NA,NA,NA,NA,59302.31641,NA,Not Found,Not Found,Peak Found,Peak Found,Not Found,Not Found,Not Found,Not Found,Peak Found,Not Found,ADIRF
Q9H9Q2,COP9 signalosome complex subunit 7b OS=Homo sapiens OX=9606 GN=COPS7B PE=1 SV=1,0,16,147845.5781,305855.5469,126928.8906,304368.4063,282839.5625,231351.3594,165407.6406,184922.8438,99474.96094,363243.875,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,COPS7B
Q9NRN7,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase OS=Homo sapiens OX=9606 GN=AASDHPPT PE=1 SV=2,0,14,NA,684716.9375,62146.14941,306111.5625,374844.4063,384816.9063,89152.92188,974889.9219,780919.375,593162.625,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,AASDHPPT
Q9UJC5,SH3 domain-binding glutamic acid-rich-like protein 2 OS=Homo sapiens OX=9606 GN=SH3BGRL2 PE=1 SV=2,0,2,NA,22561.76563,104223.1797,306273,45832.01953,27656.17188,NA,25292.75,43246.70703,19332.41016,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,SH3BGRL2
Q14667,Protein KIAA0100 OS=Homo sapiens OX=9606 GN=KIAA0100 PE=1 SV=3,0,1,NA,91581.50781,NA,307157.0313,39876.15234,NA,NA,640649.25,NA,161446.7344,Not Found,Peak Found,Not Found,Peak Found,Peak Found,Not Found,Not Found,Peak Found,Not Found,High,KIAA0100
Q9UBX1,Cathepsin F OS=Homo sapiens OX=9606 GN=CTSF PE=1 SV=1,0,11,NA,403081.3398,36919.04395,307510.25,49644.29688,243038.168,215413.5469,424801.416,464797.8945,411521.7109,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,CTSF
P62854,40S ribosomal protein S26 OS=Homo sapiens OX=9606 GN=RPS26 PE=1 SV=3,0,35,235300.5313,332464.6094,112116.7422,308679.4375,491656.7109,85906.64063,798162.0625,271083.4453,963378.9961,213380.5547,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,RPS26
Q9UBS3,DnaJ homolog subfamily B member 9 OS=Homo sapiens OX=9606 GN=DNAJB9 PE=1 SV=1,0,8,471730.9063,122500.6719,NA,309422,NA,NA,457403.375,NA,NA,NA,Peak Found,Peak Found,Not Found,Peak Found,Not Found,Not Found,Peak Found,Not Found,Not Found,Not Found,DNAJB9
Q3MHD2,Protein LSM12 homolog OS=Homo sapiens OX=9606 GN=LSM12 PE=1 SV=2,0,18,103361.2031,1703504.9,1055050.379,309650.0234,2331093.563,2216983.023,240390.4766,2140919.617,3783887.377,1573560.707,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,LSM12
O75251,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS7 PE=1 SV=3",0,16,27400119.91,NA,48435.06445,310129.0703,173978.918,108797.2012,16856929.55,50859.19043,136996.1758,73574.03125,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,NDUFS7
Q12768,WASH complex subunit 5 OS=Homo sapiens OX=9606 GN=WASHC5 PE=1 SV=1,0,40,245810.0156,355490.9297,157844.8965,310219.7734,626789.6523,122407.1563,366743.3359,81961.36719,122511.7891,141531.3398,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,WASHC5
Q02487,Desmocollin-2 OS=Homo sapiens OX=9606 GN=DSC2 PE=1 SV=1,0,39,345391.2332,2633463.924,1653209.975,310249.2864,20168898.39,2198546.875,122574.791,378536.9434,2678189.216,499750.334,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,DSC2
Q9H1U4,Multiple epidermal growth factor-like domains protein 9 OS=Homo sapiens OX=9606 GN=MEGF9 PE=2 SV=3,0,15,46679.03906,164485.4375,126323.1094,310716.1484,125551.7188,373800.8672,1061303.125,167273.6719,222606.7031,708502.1992,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,MEGF9
Q13501,Sequestosome-1 OS=Homo sapiens OX=9606 GN=SQSTM1 PE=1 SV=1,0,20,NA,NA,NA,311140.6875,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Peak Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,SQSTM1
Q8TD08,Mitogen-activated protein kinase 15 OS=Homo sapiens OX=9606 GN=MAPK15 PE=1 SV=1,0,6,NA,27461.80664,NA,311355.3438,195092.9375,110223.1094,NA,42809.77344,NA,NA,Not Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Not Found,Not Found,MAPK15
Q9UBU2,Dickkopf-related protein 2 OS=Homo sapiens OX=9606 GN=DKK2 PE=2 SV=1,0,3,759706.75,277431.4688,172101.6563,312541.6563,346191.125,265033.9063,1093178.75,279080.5313,212623.1563,339473.7813,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,DKK2
Q9UHD1,Cysteine and histidine-rich domain-containing protein 1 OS=Homo sapiens OX=9606 GN=CHORDC1 PE=1 SV=2,0,22,746136.75,526143.375,47513.61328,312922.1875,NA,NA,496350.1406,280354.5313,201438.1172,43584.89453,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,CHORDC1
Q13477,Mucosal addressin cell adhesion molecule 1 OS=Homo sapiens OX=9606 GN=MADCAM1 PE=1 SV=2,0,1,268156.9063,279219.1875,76604.85156,313146.0938,221865.3594,443000.75,364598,157029.5625,259868.4531,182401.1563,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,MADCAM1
P84090,Enhancer of rudimentary homolog OS=Homo sapiens OX=9606 GN=ERH PE=1 SV=1,0,27,NA,NA,NA,313488.5,NA,200957.9375,607743.125,170801.7031,55503.19531,51426.21484,Not Found,Not Found,Not Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,ERH
Q9ULT8,E3 ubiquitin-protein ligase HECTD1 OS=Homo sapiens OX=9606 GN=HECTD1 PE=1 SV=3,0,11,703270.375,39012.45703,8809.243164,313728.6875,56793.28516,32435.42773,229227.75,30937.75391,26550.03516,16710.44336,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,HECTD1
Q9H2J7,Sodium-dependent neutral amino acid transporter B(0)AT2 OS=Homo sapiens OX=9606 GN=SLC6A15 PE=1 SV=1,0,1,113033.1016,NA,26134.60547,314009.0313,NA,NA,NA,NA,NA,NA,Peak Found,Not Found,Peak Found,Peak Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,SLC6A15
Q96GM5,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1 OS=Homo sapiens OX=9606 GN=SMARCD1 PE=1 SV=2,0,10,NA,577237.9346,51636.66797,314247.6563,137317.5156,645388.8535,NA,658009.4063,384896.3516,220718.5879,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,SMARCD1
Q86WC4,Osteopetrosis-associated transmembrane protein 1 OS=Homo sapiens OX=9606 GN=OSTM1 PE=1 SV=1,0,4,32583.17383,291483.7295,26837.31836,314523.0938,NA,76093.96094,119929.4512,NA,NA,NA,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Not Found,Not Found,Not Found,OSTM1
Q9UQ03,Coronin-2B OS=Homo sapiens OX=9606 GN=CORO2B PE=1 SV=4,0,6,171268.3125,174158.2305,73169.59375,315242.5313,223822.9688,667541.5625,173495.9531,217526.0195,537923.1992,269000.6719,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,CORO2B
P82675,"28S ribosomal protein S5, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS5 PE=1 SV=2",0,19,23200414.48,9651534.188,632901.7744,315262.8164,1151035.986,5180693.002,5151050.938,32450844.07,351997.4531,23494717.09,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,MRPS5
Q13155,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 OS=Homo sapiens OX=9606 GN=AIMP2 PE=1 SV=2,0,29,133691.3359,163755.7852,118195.5508,315299.3906,232008.4531,256907.9219,294749.9258,514137.9434,156899.5,241832.6211,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,AIMP2
Q6NY19,KN motif and ankyrin repeat domain-containing protein 3 OS=Homo sapiens OX=9606 GN=KANK3 PE=1 SV=1,0,25,362831.4609,580397.8438,205322.2266,316136.1563,705932.8438,970929.0313,526037.5039,331413.8555,380167.5391,753662.3477,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,KANK3
P48509,CD151 antigen OS=Homo sapiens OX=9606 GN=CD151 PE=1 SV=3,0,8,454378.7188,4486068.438,59106.12109,316164.75,NA,599106.3125,98703.625,211076.6211,443217.8359,366232.3438,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,CD151
Q9H3P2,Negative elongation factor A OS=Homo sapiens OX=9606 GN=NELFA PE=1 SV=3,0,4,388226.0625,243340.3281,73532.78906,316450.9063,210080.5625,206621.8125,262516.8125,NA,307319.6563,NA,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Not Found,NELFA
O43447,Peptidyl-prolyl cis-trans isomerase H OS=Homo sapiens OX=9606 GN=PPIH PE=1 SV=1,0,23,44967.44141,277279.9063,177813.5723,317365.5078,615774.1328,358169.5469,694531.2832,272861.4297,719638.0391,566212.2031,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,PPIH
P13612,Integrin alpha-4 OS=Homo sapiens OX=9606 GN=ITGA4 PE=1 SV=3,0,8,NA,237538.3047,92259.08594,317895.8984,106106.7344,NA,NA,352398.2734,123817.6328,151243.1563,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Not Found,Peak Found,Peak Found,Peak Found,ITGA4
Q7RTM1,Proton channel OTOP1 OS=Homo sapiens OX=9606 GN=OTOP1 PE=2 SV=1,0,1,NA,NA,NA,317909.2188,310091.4688,NA,NA,244417.7656,NA,NA,Not Found,Not Found,Not Found,Peak Found,Peak Found,Not Found,Not Found,Peak Found,Not Found,Not Found,OTOP1
P00533,Epidermal growth factor receptor OS=Homo sapiens OX=9606 GN=EGFR PE=1 SV=2,0,40,381111.2637,181535.8945,188867.7813,320416.9375,157897.5352,49720.26953,1121315.191,380354.6621,1429425.557,94639.52051,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,EGFR
Q9BVC5,Ashwin OS=Homo sapiens OX=9606 GN=C2orf49 PE=1 SV=1,0,3,NA,NA,NA,320561.2813,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Peak Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,C2orf49
Q9HCN4,GPN-loop GTPase 1 OS=Homo sapiens OX=9606 GN=GPN1 PE=1 SV=1,0,6,21860.62109,121705.0938,NA,320614.9688,131722.0479,24837.85547,51749.05469,70532.54688,285277.7383,163010.4785,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,GPN1
Q9P003,Protein cornichon homolog 4 OS=Homo sapiens OX=9606 GN=CNIH4 PE=1 SV=1,0,2,766152.2109,NA,197538.9473,320756.2344,126178.3281,589294.375,30052.68359,307664.0313,155109.2012,101098.7344,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,CNIH4
Q13094,Lymphocyte cytosolic protein 2 OS=Homo sapiens OX=9606 GN=LCP2 PE=1 SV=1,0,14,NA,20300.74805,21248.25,323195.9063,85347.65625,NA,NA,208825.0781,51593.76953,NA,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Not Found,Peak Found,Peak Found,Not Found,LCP2
Q9H3K2,Growth hormone-inducible transmembrane protein OS=Homo sapiens OX=9606 GN=GHITM PE=1 SV=2,0,16,35692.03906,173185.9258,46332.33594,323290.875,240566.0547,118137.168,94963.80859,156103.5059,91196.48242,117205.877,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,GHITM
P62877,E3 ubiquitin-protein ligase RBX1 OS=Homo sapiens OX=9606 GN=RBX1 PE=1 SV=1,0,11,86960.94531,115168.4258,19406.21875,324043.7969,50390.48438,121678.0352,179344.9531,156228.1445,299904.3047,NA,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,RBX1
P28676,Grancalcin OS=Homo sapiens OX=9606 GN=GCA PE=1 SV=2,0,25,460148.5938,445670.0293,500355.918,324048.9531,3347493.432,177708.2891,5237178.297,45244.61426,194183.5078,291612.0996,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,GCA
Q8N9E0,Protein FAM133A OS=Homo sapiens OX=9606 GN=FAM133A PE=1 SV=1,0,1,NA,NA,NA,324370.75,122761.1406,116550.6797,NA,NA,53407.17188,68873.45313,Not Found,Not Found,Not Found,Peak Found,Peak Found,Peak Found,Not Found,Not Found,Peak Found,Peak Found,FAM133A
Q15154,Pericentriolar material 1 protein OS=Homo sapiens OX=9606 GN=PCM1 PE=1 SV=5,0,13,293991.2188,1095498.375,61550.89063,324615.5566,51886.73828,150702.9023,43554,950199.1426,517186.6563,588510.75,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,PCM1
Q8N7H5,RNA polymerase II-associated factor 1 homolog OS=Homo sapiens OX=9606 GN=PAF1 PE=1 SV=2,0,20,100615.9766,59338.80664,32163.78906,324872.875,92736.26563,100551.0391,279198.1875,399098.4297,385523.7344,213496.9395,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,PAF1
P50336,Protoporphyrinogen oxidase OS=Homo sapiens OX=9606 GN=PPOX PE=1 SV=1,0,17,164251.0781,171894.5781,NA,325059.5938,212537.0156,201500.0938,NA,175784.9531,376680.5313,214956.2813,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,PPOX
P78410,Butyrophilin subfamily 3 member A2 OS=Homo sapiens OX=9606 GN=BTN3A2 PE=1 SV=2,0,4,106461.0547,NA,124931.7422,325480.8438,NA,NA,65163.35156,55973.69531,NA,NA,Peak Found,Not Found,Peak Found,Peak Found,Not Found,Not Found,Peak Found,Peak Found,Not Found,Not Found,BTN3A2
Q86UN3,Reticulon-4 receptor-like 2 OS=Homo sapiens OX=9606 GN=RTN4RL2 PE=1 SV=1,0,23,257211,58678.54102,224724.3164,326588.6875,79849.82031,21530.57227,NA,NA,115089.0078,95795.4668,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Not Found,Peak Found,Peak Found,RTN4RL2
Q9BQ75,Protein CMSS1 OS=Homo sapiens OX=9606 GN=CMSS1 PE=1 SV=2,0,7,512003.1719,211122.9063,125491.707,326905.4375,NA,204364.2656,126265.1172,156528.6875,88751.4375,441096.7031,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,CMSS1
Q6UN15,Pre-mRNA 3'-end-processing factor FIP1 OS=Homo sapiens OX=9606 GN=FIP1L1 PE=1 SV=1,0,16,5230994.5,441452.293,25412.23828,327027.1797,387385.2539,411030.0703,454187.9258,121539.5469,449447.5313,247890.9688,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,FIP1L1
Q15648,Mediator of RNA polymerase II transcription subunit 1 OS=Homo sapiens OX=9606 GN=MED1 PE=1 SV=4,0,1,NA,NA,NA,327430.9375,121498.0625,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Peak Found,Peak Found,Not Found,Not Found,Not Found,Not Found,Not Found,MED1
P37198,Nuclear pore glycoprotein p62 OS=Homo sapiens OX=9606 GN=NUP62 PE=1 SV=3,0,19,89688.4375,121049.3438,NA,327722.125,250694.4922,NA,253669.7031,1439380.922,417273.2578,NA,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Not Found,NUP62
P28068,"HLA class II histocompatibility antigen, DM beta chain OS=Homo sapiens OX=9606 GN=HLA-DMB PE=1 SV=1",0,20,4114018.813,396146.5391,129992.8691,328658.25,105834.7813,497380.7344,490850.5625,177126.2656,546295.0117,302527.4414,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,HLA-DMB
Q13322,Growth factor receptor-bound protein 10 OS=Homo sapiens OX=9606 GN=GRB10 PE=1 SV=2,0,4,NA,NA,86792.44531,329210.4375,46049.78906,NA,218638.875,NA,100219.5859,NA,Not Found,Not Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Not Found,Peak Found,Not Found,GRB10
P21953,"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=BCKDHB PE=1 SV=2",0,19,197316.6406,293869.6367,142391.0449,329230.125,329652.582,81265.51563,88911.92969,38230.64063,81437.28125,53950.39063,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,BCKDHB
O95071,E3 ubiquitin-protein ligase UBR5 OS=Homo sapiens OX=9606 GN=UBR5 PE=1 SV=2,0,4,1002690.469,329017.2344,62763.73438,329519.2188,39930.03125,391537.3008,333959.5547,299496.9688,53989.72656,187923.7031,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,UBR5
O95154,Aflatoxin B1 aldehyde reductase member 3 OS=Homo sapiens OX=9606 GN=AKR7A3 PE=1 SV=2,0,3,47445.44531,139049.6406,24816.05859,329620.9688,1799911.875,NA,61145.46484,NA,NA,NA,Peak Found,Not Found,Not Found,Not Found,Not Found,Not Found,Peak Found,Not Found,Not Found,Not Found,AKR7A3
Q5VT79,Annexin A8-like protein 1 OS=Homo sapiens OX=9606 GN=ANXA8L1 PE=2 SV=2,0,19,186990.6719,644737.082,349889.3398,329711.8672,698373.8398,1439613.484,3044840.373,2389515.623,320680.0859,210382.8262,Not Found,Not Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Not Found,Not Found,ANXA8L1
Q9NRG7,Epimerase family protein SDR39U1 OS=Homo sapiens OX=9606 GN=SDR39U1 PE=1 SV=3,0,7,NA,325791.4688,NA,330210.4063,NA,NA,NA,NA,NA,NA,Not Found,Peak Found,Not Found,Peak Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,SDR39U1
P56134,"ATP synthase subunit f, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5MF PE=1 SV=3",0,28,27264142,181345.9336,177595.8965,330447.125,1605785.281,354135.3438,29394798,NA,387734.25,NA,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Not Found,ATP5MF
Q6Y1H2,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 2 OS=Homo sapiens OX=9606 GN=HACD2 PE=1 SV=1,0,15,23212.38672,120708.3779,57553.1084,331445.7793,311907.3301,140960.8867,845911.6563,17920.32813,66566.12988,90312.29297,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,HACD2
Q92526,T-complex protein 1 subunit zeta-2 OS=Homo sapiens OX=9606 GN=CCT6B PE=1 SV=5,0,42,525834.2813,455831.1426,124050.5898,331589.7188,165080.8418,324529.5703,155041.6992,327682.0313,376290.0313,148058.7695,Not Found,Peak Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Peak Found,Not Found,CCT6B
Q96M83,Coiled-coil domain-containing protein 7 OS=Homo sapiens OX=9606 GN=CCDC7 PE=2 SV=3,0,5,7765896.938,6910018.715,NA,332992.7813,5866749.957,13150348.98,9443985.422,6765707.5,6600782.586,5451130.5,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,CCDC7
Q9NRC6,"Spectrin beta chain, non-erythrocytic 5 OS=Homo sapiens OX=9606 GN=SPTBN5 PE=1 SV=2",0,4,NA,NA,NA,333440.25,NA,NA,172384.2188,NA,NA,2914978,Not Found,Not Found,Not Found,Peak Found,Not Found,Not Found,Peak Found,Not Found,Not Found,High,SPTBN5
Q99985,Semaphorin-3C OS=Homo sapiens OX=9606 GN=SEMA3C PE=2 SV=2,0,7,NA,NA,70112.57813,334241.0625,129134.8203,116398.2578,NA,179509.8438,237591.2813,122019.8125,Not Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,SEMA3C
